Date_Open,CSCO_Open,GOOGL_Open
30/6/17,31.79,926.05
29/6/17,31.79,929.92
28/6/17,31.78,929
27/6/17,32.09,942.46
26/6/17,32.22,969.9
23/6/17,31.85,956.83
22/6/17,31.91,958.7
21/6/17,31.73,953.64
20/6/17,31.94,957.52
19/6/17,31.77,949.96
16/6/17,31.61,940
15/6/17,31.25,933.97
14/6/17,31.87,959.92
13/6/17,31.3,951.91
12/6/17,31.34,939.56
9/6/17,31.64,984.5
8/6/17,31.53,982.35
7/6/17,31.61,979.65
6/6/17,31.75,983.16
5/6/17,32.05,976.55
2/6/17,31.93,969.46
1/6/17,31.52,968.95
31/5/17,31.78,975.02
30/5/17,31.4,970.31
26/5/17,31.51,969.7
25/5/17,31.55,957.33
24/5/17,31.93,952.98
23/5/17,31.83,947.92
22/5/17,31.15,935
19/5/17,31.74,931.47
18/5/17,31.1,921
17/5/17,34.2,935.67
16/5/17,34.24,940
15/5/17,34,932.95
12/5/17,33.6,931.53
11/5/17,33.72,925.32
10/5/17,33.9,931.98
9/5/17,34.14,936.95
8/5/17,34.46,926.12
5/5/17,34.25,933.54
4/5/17,34.33,926.07
3/5/17,34.16,914.86
2/5/17,34.06,909.62
1/5/17,34.11,901.94
28/4/17,33.88,910.66
27/4/17,34.01,873.6
26/4/17,33.58,874.23
25/4/17,33.39,865
24/4/17,33.24,851.2
21/4/17,32.94,842.88
20/4/17,32.79,841.44
19/4/17,32.8,839.79
18/4/17,32.56,834.22
17/4/17,32.48,825.01
13/4/17,32.71,822.14
12/4/17,32.86,821.93
11/4/17,33.04,824.71
10/4/17,32.96,825.39
7/4/17,33.1,827.96
6/4/17,33,832.4
5/4/17,33.49,835.51
4/4/17,33.25,831.36
3/4/17,33.7,829.22
31/3/17,33.72,828.97
30/3/17,33.8,833.5
29/3/17,34,825
28/3/17,33.9,820.41
27/3/17,33.82,806.95
24/3/17,34.07,820.08
23/3/17,34.08,821
22/3/17,33.78,831.91
21/3/17,34.45,851.4
20/3/17,34.2,850.01
17/3/17,34.35,851.61
16/3/17,34.25,849.03
15/3/17,34.07,847.59
14/3/17,33.94,843.64
13/3/17,34.22,844
10/3/17,34.24,843.28
9/3/17,34.04,836
8/3/17,34.18,833.51
7/3/17,34,827.4
6/3/17,34.04,826.95
3/3/17,34.42,830.56
2/3/17,34.41,833.85
1/3/17,34.28,828.85
28/2/17,34.16,825.61
27/2/17,34.21,824.55
24/2/17,33.98,827.73
23/2/17,34.28,830.12
22/2/17,34.04,828.66
21/2/17,33.69,828.66
17/2/17,33.52,823.02
16/2/17,33.26,819.93
15/2/17,32.35,819.36
14/2/17,31.9,819
13/2/17,31.67,816
10/2/17,31.48,811.7
9/2/17,31.35,809.51
8/2/17,31.46,807
7/2/17,31.38,803.99
6/2/17,31.29,799.7
3/2/17,31.27,802.99
2/2/17,30.69,793.8
1/2/17,30.847,799.68
31/1/17,30.68,796.86
30/1/17,30.94,814.66
27/1/17,30.76,834.71
26/1/17,30.76,837.81
25/1/17,31.04,829.62
24/1/17,30.34,822.3
23/1/17,30.14,807.25
20/1/17,30.12,806.91
19/1/17,30.01,805.12
18/1/17,30.12,805.81
17/1/17,30,807.08
13/1/17,30.1,807.48
12/1/17,30.15,807.14
11/1/17,30.33,805
10/1/17,30.19,807.86
9/1/17,30.22,806.4
6/1/17,30.17,795.26
5/1/17,30.1,786.08
4/1/17,30.235,788.36
3/1/17,30.37,778.81
30/12/16,30.56,782.75
29/12/16,30.37,783.33
28/12/16,30.7,793.7
27/12/16,30.64,790.68
23/12/16,30.54,790.9
22/12/16,30.4,792.36
21/12/16,30.69,795.84
20/12/16,30.83,796.76
19/12/16,30.65,790.22
16/12/16,30.7,800.4
15/12/16,30.59,797.34
14/12/16,30.6,797.4
13/12/16,30.3,793.9
12/12/16,30.08,785.04
9/12/16,29.98,780
8/12/16,30.11,772.48
7/12/16,29.48,761
6/12/16,29.42,764.73
5/12/16,29.33,757.71
2/12/16,29.31,744.59
1/12/16,29.84,757.44
30/11/16,29.76,770.07
29/11/16,29.94,771.53
28/11/16,30.08,760
25/11/16,29.6,764.26
23/11/16,29.83,767.73
22/11/16,30.08,772.63
21/11/16,30.3,762.61
18/11/16,30.11,771.37
17/11/16,29.91,766.92
16/11/16,31.62,755.2
15/11/16,31.27,746.97
14/11/16,31.43,755.6
11/11/16,30.93,756.54
10/11/16,31.41,791.17
9/11/16,31.04,779.94
8/11/16,30.94,783.4
7/11/16,30.71,774.5
4/11/16,29.98,750.66
3/11/16,30.5,767.25
2/11/16,30.43,778.2
1/11/16,30.85,782.89
31/10/16,30.34,795.47
28/10/16,30.36,808.35
27/10/16,30.595,801
26/10/16,30.59,806.34
25/10/16,30.5,816.68
24/10/16,30.341,804.9
21/10/16,30.01,795
20/10/16,30.28,803.3
19/10/16,30.44,798.86
18/10/16,30.69,787.85
17/10/16,30.13,779.8
14/10/16,30.35,781.65
13/10/16,30.09,781.22
12/10/16,30.53,783.76
11/10/16,31.52,786.66
10/10/16,31.54,777.71
7/10/16,31.48,779.66
6/10/16,31.57,779
5/10/16,31.41,779.31
4/10/16,31.46,776.03
3/10/16,31.31,774.25
30/9/16,31.61,776.33
29/9/16,31.51,781.44
28/9/16,31.44,777.85
27/9/16,31.09,775.5
26/9/16,31.1,782.74
23/9/16,31.71,786.59
22/9/16,31.5,780
21/9/16,31.11,772.66
20/9/16,31.08,769
19/9/16,30.85,772.42
16/9/16,31.12,769.75
15/9/16,30.63,762.89
14/9/16,31.01,759.61
13/9/16,31.26,764.48
12/9/16,30.61,755.13
9/9/16,31.14,770.1
8/9/16,31.72,778.59
7/9/16,31.79,780
6/9/16,31.93,773.45
2/9/16,31.65,773.01
1/9/16,31.42,769.25
31/8/16,31.45,767.01
30/8/16,31.61,769.33
29/8/16,31.43,768.74
26/8/16,31.34,769
25/8/16,31.06,767
24/8/16,30.98,770.58
23/8/16,30.83,775.48
22/8/16,30.44,773.27
19/8/16,30.37,775
18/8/16,30.41,780.01
17/8/16,30.97,777.32
16/8/16,31.22,780.3
15/8/16,30.98,783.75
12/8/16,30.92,781.5
11/8/16,30.95,785
10/8/16,31.01,783.75
9/8/16,31.11,781.1
8/8/16,31,782
5/8/16,30.9,773.78
4/8/16,30.78,772.22
3/8/16,30.51,767.18
2/8/16,30.82,768.69
1/8/16,30.7,761.09
29/7/16,30.6,772.71
28/7/16,30.65,747.04
27/7/16,30.95,738.28
26/7/16,30.8,739.04
25/7/16,30.67,740.67
22/7/16,30.7,741.86
21/7/16,30.64,740.36
20/7/16,30.04,737.33
19/7/16,29.91,729.89
18/7/16,29.75,722.71
15/7/16,29.93,725.73
14/7/16,29.84,721.58
13/7/16,29.72,723.62
12/7/16,29.72,719.12
11/7/16,29.34,708.05
8/7/16,28.91,699.5
7/7/16,28.72,698.08
6/7/16,28.45,689.98
5/7/16,28.23,696.06
1/7/16,28.78,692.2
30/6/16,28.38,685.47
29/6/16,28.13,683
28/6/16,27.55,678.97
27/6/16,27.48,671
24/6/16,28.16,675.17
23/6/16,29.03,697.45
22/6/16,28.87,699.06
21/6/16,28.97,698.4
20/6/16,29.04,698.77
17/6/16,28.88,708.65
16/6/16,28.38,714.91
15/6/16,28.49,719
14/6/16,28.66,716.48
13/6/16,28.97,716.51
10/6/16,28.79,719.47
9/6/16,28.97,722.87
8/6/16,29.09,723.96
7/6/16,28.9,719.84
6/6/16,29.07,724.91
3/6/16,29.13,729.27
2/6/16,28.98,732.5
1/6/16,28.84,734.53
31/5/16,28.8,731.74
27/5/16,28.95,724.01
26/5/16,28.86,722.87
25/5/16,28.58,720.76
24/5/16,28.01,706.86
23/5/16,27.78,706.53

