"JPM.Adjusted","C.Adjusted","MCO.Adjusted","GOOGL.Adjusted","NFLX.Adjusted"
116.730003,71.837181,170.371948,1230.040039,334.959991
114.949997,71.43969,170.681152,1227.219971,337.450012
115.660004,71.479439,170.711075,1232.98999,338.380005
116.150002,71.389999,171.449173,1241.130005,344.5
117.089996,72.389999,172.237152,1238.160034,343.089996
117.120003,72.400002,171.130005,1237.670044,350.920013
117.550003,72.410004,172.805695,1255.839966,351.829987
117.790001,72.889999,172.157364,1261.329956,347.609985
116.879997,71.980003,171.598785,1264.459961,349.359985
115.730003,70.260002,170.551498,1252.51001,345.869995
113.889999,69.160004,168.935638,1248.640015,341.309998
114.650002,70.010002,170.481659,1258.140015,337.48999
113.699997,68.650002,169.035385,1232.219971,326.399994
114.769997,69.559998,171.130005,1224.060059,322.440002
114.769997,69.669998,171.5,1215.849976,316.779999
114.620003,70.529999,171.220001,1221.949951,327.730011
115.32,71.239998,171.910004,1217.410034,338.019989
114.970001,71.120003,171.820007,1221.75,344.440002
114.730003,70.809998,171.309998,1221.160034,339.170013
114.68,70.669998,173.199997,1236.75,358.820007
116.709999,72.389999,175.389999,1256.27002,364.579987
116.139999,72.379997,176.270004,1245.859985,368.48999
115.760002,72.529999,176.320007,1264.650024,368.040009
115.190002,71.459999,176.75,1254.439941,370.980011
114.580002,71.239998,178.020004,1231.800049,367.679993
115.150002,71.400002,178.130005,1211.310059,363.600006
114.589996,71.169998,176.100006,1199.099976,341.179993
114.099998,70.110001,176.649994,1183.98999,346.459991
114.32,69.639999,176.800003,1177.589966,348.679993
113.709999,69.629997,177.160004,1175.060059,348.410004
114.43,69.43,177.720001,1189.98999,355.929993
113.080002,70.510002,178.899994,1171.599976,369.950012
113.519997,70.150002,179.259995,1182.140015,368.149994
113.5,70.540001,181.550003,1177.97998,364.559998
113.839996,70.879997,176.910004,1159.829956,350.350006
114.300003,71.360001,177.850006,1167.109985,367.649994
117.620003,73.720001,177.800003,1174.27002,366.959991
118.629997,74.790001,178.75,1191.569946,365.359985
