Date,GSPC.Adjusted,PEP.Adjusted,JPM.Adjusted,BLK.Adjusted,PFE.Adjusted,C.Adjusted,MCO.Adjusted,GOOGL.Adjusted,WHR.Adjusted,NFLX.Adjusted
26/7/17,2477.830078,114.725945,90.463364,425.704895,31.671455,66.788628,131.858704,965.309998,185.053558,189.080002
27/7/17,2475.419922,114.872787,90.089424,418.62149,31.777382,66.415283,130.483536,952.51001,173.426285,182.679993
28/7/17,2472.100098,114.158134,89.82373,417.135956,31.921825,66.248268,130.800125,958.330017,172.959229,184.039993
31/7/17,2470.300049,114.158134,90.335442,419.624969,31.931452,67.250381,130.226303,945.5,173.076019,181.660004
1/8/17,2476.350098,113.482651,91.545807,423.019135,31.854422,68.380226,130.186737,946.559998,171.713806,182.029999
2/8/17,2477.570068,113.179169,91.624527,418.660797,32.009995,68.203384,127.990417,947.640015,171.811127,180.740005
3/8/17,2472.159912,113.85466,91.024269,419.113403,32.505901,67.245972,127.347351,940.299988,171.159225,179.229996
4/8/17,2476.830078,113.923187,92.165771,419.605286,32.710091,68.084946,127.911263,945.789978,173.017654,180.270004
7/8/17,2480.909912,114.500786,92.520012,420.943268,32.389217,68.144173,127.693604,945.75,173.572235,181.330002
8/8/17,2474.919922,114.256035,92.18544,421.877899,32.360043,67.986244,126.338219,944.190002,173.71817,178.360001
9/8/17,2474.02002,114.177711,92.037842,424.357117,32.525345,67.542084,126.654808,940.080017,170.322449,175.779999
10/8/17,2438.209961,113.932976,90.719215,415.847137,32.49617,66.347786,125.556641,923.590027,167.101852,169.139999
11/8/17,2441.320068,114.060242,89.961494,417.293335,32.330875,65.933235,126.397583,930.090027,166.615356,171.399994
14/8/17,2465.840088,115.362282,91.01442,421.130219,32.389217,67.009094,129.138046,938.929993,168.960236,171
15/8/17,2464.610107,116.468521,91.250603,421.317139,32.457279,67.088058,130.790222,938.080017,168.512665,168.5
16/8/17,2468.110107,116.595779,90.620804,420.15625,32.437832,66.831429,130.681381,944.27002,169.407822,169.979996
17/8/17,2430.01001,115.900719,89.203781,413.141663,32.039165,65.735825,128.831345,927.659973,166.858597,166.089996
18/8/17,2425.550049,115.127319,89.292343,409.806519,31.766903,65.716087,129.476303,926.179993,165.486664,166.539993
21/8/17,2428.370117,115.773453,89.184097,408.64563,31.854414,65.094261,129.793823,920.869995,163.26825,166.759995
22/8/17,2452.51001,115.440598,90.099266,414.548523,32.233639,65.982582,131.550064,940.400024,164.737457,169.339996
23/8/17,2444.040039,114.823845,90.207512,411.301941,32.321148,66.357658,130.9944,942.580017,164.89415,169.059998
24/8/17,2438.969971,113.776337,90.059898,409.206421,32.311424,66.811684,131.173004,936.890015,163.895233,168.130005
25/8/17,2443.050049,113.414124,90.423996,409.629456,32.467003,66.969612,131.361542,930.5,164.972488,165.949997
28/8/17,2444.23999,113.110641,90.138626,407.632324,32.544792,66.930122,131.649277,928.130005,164.71788,167.119995
29/8/17,2446.300049,113.404335,89.646606,407.42572,32.573959,66.604416,131.996552,935.75,164.551392,168.809998
30/8/17,2457.590088,113.5177,89.853249,409.462219,32.525345,67.127541,133.395599,943.630005,165.423019,174.690002
31/8/17,2471.649902,114.089478,89.439957,414.717804,32.982349,67.147278,132.988785,955.23999,168.077072,174.710007
1/9/17,2476.550049,114.197922,90.237022,417.459442,33.021244,67.69014,132.720901,951.98999,169.71257,174.740005
5/9/17,2457.850098,114.227501,88.081963,409.41272,32.865669,66.288574,132.026321,941.47998,168.586334,174.520004
6/9/17,2465.540039,114.700684,88.672394,407.967682,33.050415,66.446487,133.197174,942.02002,166.686386,179.25
7/9/17,2465.100098,115.331619,87.117599,410.006561,33.050415,65.202835,133.177307,949.890015,165.471985,179
8/9/17,2461.429932,113.409264,87.009354,411.689178,33.157375,65.311401,134.298538,941.409973,168.733231,176.419998
11/9/17,2488.110107,114.050049,88.357498,419.696289,33.371296,66.831429,134.665665,943.289978,170.016205,181.740005
12/9/17,2496.47998,113.369827,89.439957,424.179901,34.392265,67.897408,135.102249,946.650024,172.699631,185.149994
13/9/17,2498.370117,112.827621,89.695808,421.161133,34.090839,68.489624,134.318375,950.440002,172.258911,183.639999
14/9/17,2495.620117,112.571312,89.518684,421.329376,34.742317,68.341576,133.911575,940.130005,171.514618,182.630005
15/9/17,2500.22998,113.221954,90.15831,424.328339,34.382545,68.144173,135.270935,935.289978,168.312103,182.350006
18/9/17,2503.870117,113.35997,91.437561,425.040955,34.567291,69.683922,135.697571,929.75,167.313171,184.619995
19/9/17,2506.649902,112.867058,92.441292,427.960785,34.470055,70.226784,135.67775,936.859985,167.528625,185.679993
20/9/17,2508.23999,111.969963,93.090759,429.623535,34.995132,70.532768,135.70752,947.539978,166.862671,185.509995
21/9/17,2500.600098,111.201019,93.513908,429.188049,34.975685,70.82888,135.58844,947.549988,169.124985,188.779999
22/9/17,2502.219971,110.264473,93.317093,431.028992,34.965958,70.473549,136.957718,943.26001,171.612534,187.350006
25/9/17,2496.659912,110.35321,92.618431,433.147095,34.528397,69.920815,137.701889,934.280029,173.630005,178.550003
26/9/17,2496.840088,110.225044,92.205116,429.950165,34.324207,70.019516,137.275238,937.429993,177.880417,179.380005
27/9/17,2507.040039,109.525116,93.661507,433.909149,34.470055,71.342133,137.632446,959.900024,177.782486,181.970001
28/9/17,2510.060059,110.057457,93.858315,441.540192,34.61591,71.707329,137.533203,964.809998,179.78038,180.699997
29/9/17,2519.360107,109.850433,93.986244,442.510162,34.71315,71.796158,138.128571,973.719971,180.632416,181.350006
2/10/17,2529.120117,107.573181,95.295029,445.340881,35.072918,72.842407,139.120789,967.469971,180.103546,177.009995
3/10/17,2534.580078,107.583038,95.796883,446.172272,35.140984,73.168121,139.904663,972.080017,181.268982,179.190002
4/10/17,2537.73999,107.790054,94.822685,453.21933,34.965958,73.09903,140.609131,966.780029,181.983932,184.449997
5/10/17,2552.070068,108.884323,96.099518,459.672516,35.004856,74.737495,140.996109,985.190002,179.653061,194.389999
6/10/17,2549.330078,108.835037,95.931252,458.474945,35.053474,74.658531,141.383072,993.640015,177.586609,198.020004
9/10/17,2544.72998,108.450569,95.42646,457.71283,35.140984,74.411774,140.84726,992.309998,176.244904,196.869995
10/10/17,2550.639893,109.209648,96.139114,460.72168,35.393799,74.204498,141.035782,987.799988,173.522278,195.080002
11/10/17,2555.23999,109.929298,95.852074,469.075226,35.442417,73.967621,141.442612,1005.650024,173.257858,194.949997
12/10/17,2550.929932,110.855965,95.010742,475.666992,35.345181,71.430954,142.811874,1005.650024,173.443939,195.860001
13/10/17,2553.169922,111.023567,94.882072,470.619232,35.335457,71.174332,143.119492,1007.869995,175.089264,199.490005
16/10/17,2557.639893,111.960091,96.841866,473.063965,34.985405,70.838745,143.625519,1009.349976,173.120758,202.679993
