"PEP.Adjusted","JPM.Adjusted","BLK.Adjusted","PFE.Adjusted","GSPC.Adjusted","C.Adjusted","MCO.Adjusted","GOOGL.Adjusted","WHR.Adjusted","BA.Adjusted","NFLX.Adjusted","V.Adjusted"
113.081268,89.745003,420.362823,32.297375,2473.449951,65.197021,125.813866,992.190002,184.615738,205.867279,183.600006,97.452484
114.177711,89.439957,421.710632,32.239597,2472.540039,64.84333,131.156296,993.840027,186.055725,207.688263,188.539993,98.932495
113.688232,89.82373,421.386017,32.085522,2469.909912,64.941566,132.14563,998.309998,184.946533,207.727402,187.910004,99.697334
114.001503,91.319481,424.366974,31.873672,2477.129883,66.837753,131.334381,969.030029,185.793015,208.001526,186.970001,99.319885
114.725945,90.463364,425.704895,31.671455,2477.830078,66.788628,131.858704,965.309998,185.053558,228.551056,189.080002,100.174126
114.872787,90.089424,418.62149,31.777382,2475.419922,66.415283,130.483536,952.51001,173.426285,235.942627,182.679993,98.902695
114.158134,89.82373,417.135956,31.921825,2472.100098,66.248268,130.800125,958.330017,172.959229,236.20697,184.039993,98.485512
114.158134,90.335442,419.624969,31.931452,2470.300049,67.250381,130.226303,945.5,173.076019,237.372009,181.660004,98.892761
113.482651,91.545807,423.019135,31.854422,2476.350098,68.380226,130.186737,946.559998,171.713806,234.415375,182.029999,100.193977
113.179169,91.624527,418.660797,32.009995,2477.570068,68.203384,127.990417,947.640015,171.811127,232.956635,180.740005,100.601242
113.85466,91.024269,419.113403,32.505901,2472.159912,67.245972,127.347351,940.299988,171.159225,233.250336,179.229996,99.915855
113.923187,92.165771,419.605286,32.710091,2476.830078,68.084946,127.911263,945.789978,173.017654,232.72168,180.270004,100.213852
114.500786,92.520012,420.943268,32.389217,2480.909912,68.144173,127.693604,945.75,173.572235,235.188782,181.330002,100.80983
114.256035,92.18544,421.877899,32.360043,2474.919922,67.986244,126.338219,944.190002,173.71817,234.474121,178.360001,100.601242
114.177711,92.037842,424.357117,32.525345,2474.02002,67.542084,126.654808,940.080017,170.322449,230.761215,175.779999,100.29332
113.932976,90.719215,415.847137,32.49617,2438.209961,66.347786,125.556641,923.590027,167.101852,229.352875,169.139999,98.823235
114.060242,89.961494,417.293335,32.330875,2441.320068,65.933235,126.397583,930.090027,166.615356,231.322571,171.399994,99.419212
115.362282,91.01442,421.130219,32.389217,2465.840088,67.009094,129.138046,938.929993,168.960236,233.558167,171,101.187286
116.468521,91.250603,421.317139,32.457279,2464.610107,67.088058,130.790222,938.080017,168.512665,235.547607,168.5,101.942184
116.595779,90.620804,420.15625,32.437832,2468.110107,66.831429,130.681381,944.27002,169.407822,233.991516,169.979996,102.792824
115.900719,89.203781,413.141663,32.039165,2430.01001,65.735825,128.831345,927.659973,166.858597,232.02182,166.089996,101.638748
115.127319,89.292343,409.806519,31.766903,2425.550049,65.716087,129.476303,926.179993,165.486664,232.199097,166.539993,101.986969
115.773453,89.184097,408.64563,31.854414,2428.370117,65.094261,129.793823,920.869995,163.26825,232.110458,166.759995,102.693336
115.440598,90.099266,414.548523,32.233639,2452.51001,65.982582,131.550064,940.400024,164.737457,236.118805,169.339996,103.539001
114.823845,90.207512,411.301941,32.321148,2444.040039,66.357658,130.9944,942.580017,164.89415,234.483948,169.059998,102.653542
113.776337,90.059898,409.206421,32.311424,2438.969971,66.811684,131.173004,936.890015,163.895233,235.1241,168.130005,102.693336
113.414124,90.423996,409.629456,32.467003,2443.050049,66.969612,131.361542,930.5,164.972488,232.317276,165.949997,102.82267
113.110641,90.138626,407.632324,32.544792,2444.23999,66.930122,131.649277,928.130005,164.71788,233.587738,167.119995,103.250481
113.404335,89.646606,407.42572,32.573959,2446.300049,66.604416,131.996552,935.75,164.551392,236.84761,168.809998,103.240532
113.5177,89.853249,409.462219,32.525345,2457.590088,67.127541,133.395599,943.630005,165.423019,236.818085,174.690002,103.200737
114.089478,89.439957,414.717804,32.982349,2471.649902,67.147278,132.988785,955.23999,168.077072,236.030182,174.710007,102.991798
114.197922,90.237022,417.459442,33.021244,2476.550049,67.69014,132.720901,951.98999,169.71257,236.690018,174.740005,103.369873
114.227501,88.081963,409.41272,32.865669,2457.850098,66.288574,132.026321,941.47998,168.586334,233.410461,174.520004,102.484413
114.700684,88.672394,407.967682,33.050415,2465.540039,66.446487,133.197174,942.02002,166.686386,231.066498,179.25,102.653542
115.331619,87.117599,410.006561,33.050415,2465.100098,65.202835,133.177307,949.890015,165.471985,232.730911,179,104.026497
113.409264,87.009354,411.689178,33.157375,2461.429932,65.311401,134.298538,941.409973,168.733231,235.163498,176.419998,103.897156
114.050049,88.357498,419.696289,33.371296,2488.110107,66.831429,134.665665,943.289978,170.016205,236.946091,181.740005,105.608383
113.369827,89.439957,424.179901,34.392265,2496.47998,67.897408,135.102249,946.650024,172.699631,236.936249,185.149994,105.668076
112.827621,89.695808,421.161133,34.090839,2498.370117,68.489624,134.318375,950.440002,172.258911,238.265778,183.639999,105.290016
112.571312,89.518684,421.329376,34.742317,2495.620117,68.341576,133.911575,940.130005,171.514618,241.515808,182.630005,105.538742
113.221954,90.15831,424.328339,34.382545,2500.22998,68.144173,135.270935,935.289978,168.312103,245.228714,182.350006,104.762726
113.35997,91.437561,425.040955,34.567291,2503.870117,69.683922,135.697571,929.75,167.313171,249.246918,184.619995,104.295128
112.867058,92.441292,427.960785,34.470055,2506.649902,70.226784,135.67775,936.859985,167.528625,248.636307,185.679993,104.872162
111.969963,93.090759,429.623535,34.995132,2508.23999,70.532768,135.70752,947.539978,166.862671,251.590881,185.509995,104.434402
111.201019,93.513908,429.188049,34.975685,2500.600098,70.82888,135.58844,947.549988,169.124985,252.162094,188.779999,104.772675
110.264473,93.317093,431.028992,34.965958,2502.219971,70.473549,136.957718,943.26001,171.612534,252.565887,187.350006,105.0214
110.35321,92.618431,433.147095,34.528397,2496.659912,69.920815,137.701889,934.280029,173.630005,250.468155,178.550003,102.494354
110.225044,92.205116,429.950165,34.324207,2496.840088,70.019516,137.275238,937.429993,177.880417,249.857529,179.380005,102.414772
109.525116,93.661507,433.909149,34.470055,2507.040039,71.342133,137.632446,959.900024,177.782486,251.413589,181.970001,103.359917
110.057457,93.858315,441.540192,34.61591,2510.060059,71.707329,137.533203,964.809998,179.78038,250.4189,180.699997,104.046402
109.850433,93.986244,442.510162,34.71315,2519.360107,71.796158,138.128571,973.719971,180.632416,250.359802,181.350006,104.703033
107.573181,95.295029,445.340881,35.072918,2529.120117,72.842407,139.120789,967.469971,180.103546,252.112854,177.009995,104.902016
107.583038,95.796883,446.172272,35.140984,2534.580078,73.168121,139.904663,972.080017,181.268982,251.590881,179.190002,105.051239
107.790054,94.822685,453.21933,34.965958,2537.73999,73.09903,140.609131,966.780029,181.983932,251.886322,184.449997,104.772675
108.884323,96.099518,459.672516,35.004856,2552.070068,74.737495,140.996109,985.190002,179.653061,254.968948,194.389999,105.697922
108.835037,95.931252,458.474945,35.053474,2549.330078,74.658531,141.383072,993.640015,177.586609,254.663605,198.020004,106.185425
108.450569,95.42646,457.71283,35.140984,2544.72998,74.411774,140.84726,992.309998,176.244904,254.476501,196.869995,106.463997
109.209648,96.139114,460.72168,35.393799,2550.639893,74.204498,141.035782,987.799988,173.522278,256.978027,195.080002,106.762466
109.929298,95.852074,469.075226,35.442417,2555.23999,73.967621,141.442612,1005.650024,173.257858,257.480316,194.949997,107.886703
110.855965,95.010742,475.666992,35.345181,2550.929932,71.430954,142.811874,1005.650024,173.443939,257.943207,195.860001,107.558388
111.023567,94.882072,470.619232,35.335457,2553.169922,71.174332,143.119492,1007.869995,175.089264,256.790924,199.490005,108.105583
111.960091,96.841866,473.063965,34.985405,2557.639893,70.838745,143.625519,1009.349976,173.120758,255.815887,202.679993,107.747421
110.599663,96.624115,470.678619,35.199326,2559.360107,71.253296,143.010345,1011,172.699631,254.703018,199.479996,106.991302
110.36306,96.990334,472.608643,34.839554,2561.26001,72.171227,144.072021,1012.73999,173.14032,256.101501,195.539993,107.249962
111.072853,97.109116,471.905945,35.23822,2562.100098,71.934341,143.069855,1001.840027,174.286194,255.116638,195.130005,106.473946
110.027878,98.494835,471.73764,35.413242,2575.209961,72.575905,144.528442,1005.070007,178.693298,260.740173,194.160004,107.001244
110.10675,98.326561,469.530518,35.393799,2564.97998,72.575905,144.925339,985.539978,178.732468,258.346985,192.470001,106.981346
109.180069,99.89045,468.867371,35.267391,2569.129883,73.276695,145.858032,988.48999,159.889633,261.971252,196.020004,107.856857
108.509712,99.989426,464.344177,35.160431,2557.149902,72.664749,144.449081,991.460022,157.617554,254.506058,193.770004,108.931343
