Date,DJI,DWDP,MMM,IBM,KO,MCD,GS,MSFT,TRV,AXP,PG,UTX,JPM,AAPL,DIS,BA,XOM,INTC,CAT,GE,V,NKE,CVX,CSCO,WMT,PFE,JNJ,HD,UNH,MRK,VZ
1/9/16,18308.15039,49.372726,170.08638,148.418915,39.918575,110.892723,158.327164,55.702232,110.122528,62.255405,84.92392,98.095757,63.608871,109.81955,90.739418,124.971535,81.669998,35.983185,84.599869,27.56815,81.803818,51.329624,97.039955,29.908773,68.954903,31.660936,113.620628,124.408089,136.286011,59.138065,47.859962
1/10/16,18142.41992,51.711342,159.537399,143.597733,40.320786,108.210762,174.987518,57.945789,104.586159,64.569084,82.132553,98.675049,66.159332,110.29554,90.573303,135.112289,77.964539,33.23798,79.539322,27.295549,81.615883,49.1922,98.765404,28.928158,66.947067,29.641815,111.56234,117.959518,138.216049,56.049538,44.287502
1/11/16,19123.58008,53.546848,165.752914,151.567627,38.371307,114.651306,215.288437,58.27459,109.584396,70.384888,78.627876,104.004669,77.137604,107.361847,96.856476,142.824615,81.688721,33.075935,91.874809,28.852615,76.482124,49.084366,105.18634,28.349638,67.339088,30.043774,107.051369,125.104187,154.831711,58.407207,46.468353
1/12/16,19762.59961,54.98835,173.37204,156.49704,40.278061,117.916306,235.809219,60.498608,118.353081,72.378021,80.1726,106.491859,82.256371,113.088043,101.839996,149.965149,85.206337,34.834225,89.163559,29.64053,77.336952,50.701885,112.08654,28.729914,66.086578,29.928007,111.577843,130.317139,157.137009,56.192719,49.709026
1/1/17,19864.08984,57.756577,169.807297,164.539215,39.865688,118.739746,225.833252,62.94231,114.523994,74.625175,83.529015,106.540428,81.428909,118.487602,108.956436,157.421021,79.192986,35.36245,91.970955,28.068001,81.985901,52.045761,106.039391,29.205261,64.267723,29.956327,109.679642,133.718887,159.159653,59.624874,45.639553
1/2/17,20812.24023,60.303944,181.006683,169.536102,40.239693,123.661011,244.288315,62.290005,118.860703,78.55423,87.525452,109.338234,87.674797,133.758713,108.405014,173.613937,76.766876,34.766991,93.703484,28.171957,87.170113,56.236969,107.134544,32.773674,68.302513,32.212734,118.357162,140.843185,162.380173,63.356831,46.710609
1/3/17,20663.2207,61.543728,187.054184,165.479111,40.700012,126.483925,226.818497,64.509071,117.207695,77.622101,86.352928,109.656624,84.985138,140.879517,111.65451,171.833145,78.126175,34.889442,89.922768,28.387133,88.259651,54.830063,103.227936,32.409306,69.409912,32.626743,121.42157,142.70929,161.035004,61.115738,45.88237
1/4/17,20940.50977,61.260513,191.453613,152.317963,41.746147,136.555008,220.973251,67.05574,118.949242,77.759476,83.931023,116.282349,84.172447,140.869705,113.830681,179.57663,77.783218,34.966831,99.132202,27.615534,90.593506,54.685089,102.583763,32.668198,72.927391,32.350166,120.36869,152.642487,172.347855,60.384533,43.209427
1/5/17,21008.65039,60.441109,199.900528,145.03894,43.990669,147.250671,208.591644,68.40744,122.068153,75.802879,85.309326,118.520226,80.397171,149.803391,106.287918,182.297028,76.687683,34.928135,103.054199,26.081869,94.575966,52.296749,99.488007,30.496075,76.244934,31.138943,125.028633,150.109848,172.643494,63.077766,44.419796
1/6/17,21349.63086,61.523895,204.753021,147.607239,43.390842,149.465912,219.834839,67.903107,123.710732,82.994987,84.399002,119.98365,89.449791,141.815506,104.623787,193.60025,77.633041,32.878044,105.038445,25.72941,93.301186,58.228119,101.325546,30.273615,73.903694,32.345524,129.822372,150.869141,182.735245,62.089592,42.534046
